2011 JA , U , 11366 ,   826 , 13 5 42.53 -1 19 35.0 , 0 0 0.05   0 0 0.71 , 23.998 , 1004.3515515467195
1997 XR2 , I , 12372 ,   704 , 8 28 41.47 -7 47 11.94 , 0 0 0.03   0 0 0.39 , 19.582 , 20.5
1997 XR2 , U , 16614 ,   857 , 23 9 24.82 -1 23 54.49 , 0 0 0.0   0 0 0.05 , 22.653 , 1003.8190906313791
2013 ND24 , U , 16965 ,   859 , 0 7 51.2 2 24 9.83 , 0 43 24.63   10 51 9.38 , 22.288 , 1003.8190906313791
2003 EG16 , J ,  6872 , AS311 , 0 0 54.08 -2 35 28.75 , 0 0 0.01   0 0 0.2 , 22.076 , 23.29987105791056
2003 EG16 ,OR , 12767 ,   411 , 0 38 38.37 -27 55 11.06 , 0 0 0.04   0 0 0.64 , 20.143 , 22.156173420760375
2000 TU28 , U , 17005 ,   858 , 23 40 58.21 2 38 46.32 , 0 0 0.01   0 0 0.14 , 23.583 , 1003.393589771925
2015 RE36 , J , 14404 ,    N8 , 1 49 9.68 11 26 48.52 , 0 0 0.07   0 0 1.12 , 22.217 , 23.5
2015 RE36 , J , 14423 ,    N8 , 1 46 56.49 11 13 46.34 , 0 0 0.09   0 0 1.3 , 22.159 , 23.62113751626007
2015 RE36 ,OR , 17750 ,   894 , 23 41 49.04 -1 57 48.82 , 0 0 0.3   0 0 4.45 , 21.403 , 22.0
2003 CR20 , J ,  1846 ,  NS G , 0 28 44.91 -1 28 45.19 , 0 0 0.31   0 0 4.67 , 16.68 , 23.583683487038268
2014 PW59 , J ,  9530 ,   894 , 11 46 56.33 0 11 40.31 , 0 0 0.04   0 0 0.54 , 22.574 , 23.5
2013 ED28 ,VF , 16817 ,   894 , 11 36 18.9 2 3 7.13 , 0 0 0.04   0 0 0.63 , 23.624 , 1003.87628749458
2007 VK184 , U , 13055 ,   651 , 14 37 40.69 -17 33 55.12 , 0 0 1.45   0 0 21.76 , 23.62 , 1003.5989765575596
2007 VK184 , U , 17078 ,   860 , 0 21 7.14 2 59 29.98 , 0 0 0.51   0 0 7.63 , 23.848 , 1003.8190906313791
1997 XF11 , J ,   830 , NS 23 , 11 29 17.4 2 3 59.33 , 0 0 0.0   0 0 0.06 , 20.67 , 22.90359843160042
1997 XF11 , J ,  5777 ,   857 , 23 24 36.62 -2 13 38.71 , 0 0 0.01   0 0 0.11 , 18.219 , 23.583683487038268
